#         zi	             Dl	             mu
   0.0126436	        54.6769	         33.689
   0.0127748	        55.2496	        33.7116
   0.0129073	        55.8283	        33.7343
   0.0130412	        56.4132	        33.7569
   0.0131764	        57.0042	        33.7795
   0.0133131	        57.6015	        33.8022
   0.0134512	        58.2051	        33.8248
   0.0135907	         58.815	        33.8474
   0.0137317	        59.4315	        33.8701
   0.0138741	        60.0545	        33.8927
   0.0140181	         60.684	        33.9154
   0.0141635	        61.3202	         33.938
   0.0143104	        61.9632	        33.9607
   0.0144588	         62.613	        33.9833
   0.0146088	        63.2697	         34.006
   0.0147603	        63.9333	        34.0286
   0.0149134	         64.604	        34.0513
   0.0150681	        65.2818	         34.074
   0.0152244	        65.9667	        34.0966
   0.0153823	         66.659	        34.1193
   0.0155419	        67.3585	         34.142
   0.0157031	        68.0655	        34.1646
    0.015866	        68.7801	        34.1873
   0.0160306	        69.5022	          34.21
   0.0161968	        70.2319	        34.2327
   0.0163648	        70.9694	        34.2554
   0.0165346	        71.7148	         34.278
   0.0167061	        72.4681	        34.3007
   0.0168794	        73.2294	        34.3234
   0.0170545	        73.9988	        34.3461
   0.0172314	        74.7763	        34.3688
   0.0174101	        75.5622	        34.3915
   0.0175907	        76.3564	        34.4142
   0.0177732	         77.159	        34.4369
   0.0179575	        77.9702	        34.4596
   0.0181438	        78.7901	        34.4824
    0.018332	        79.6187	        34.5051
   0.0185221	        80.4561	        34.5278
   0.0187143	        81.3024	        34.5505
   0.0189084	        82.1577	        34.5732
   0.0191045	        83.0222	         34.596
   0.0193027	        83.8959	        34.6187
   0.0195029	        84.7789	        34.6414
   0.0197052	        85.6714	        34.6642
   0.0199096	        86.5733	        34.6869
   0.0201161	        87.4849	        34.7097
   0.0203248	        88.4063	        34.7324
   0.0205356	        89.3374	        34.7552
   0.0207486	        90.2786	        34.7779
   0.0209638	        91.2298	        34.8007
   0.0211813	        92.1911	        34.8234
    0.021401	        93.1628	        34.8462
    0.021623	        94.1448	         34.869
   0.0218472	        95.1374	        34.8918
   0.0220739	        96.1406	        34.9145
   0.0223028	        97.1545	        34.9373
   0.0225342	        98.1793	        34.9601
   0.0227679	         99.215	        34.9829
   0.0230041	        100.262	        35.0057
   0.0232427	         101.32	        35.0285
   0.0234838	        102.389	        35.0513
   0.0237274	         103.47	        35.0741
   0.0239735	        104.563	        35.0969
   0.0242222	        105.667	        35.1197
   0.0244734	        106.783	        35.1425
   0.0247273	        107.911	        35.1653
   0.0249837	        109.052	        35.1882
   0.0252429	        110.204	         35.211
   0.0255047	        111.369	        35.2338
   0.0257693	        112.546	        35.2567
   0.0260366	        113.737	        35.2795
   0.0263066	        114.939	        35.3023
   0.0265795	        116.155	        35.3252
   0.0268552	        117.384	         35.348
   0.0271338	        118.626	        35.3709
   0.0274152	        119.882	        35.3938
   0.0276996	        121.151	        35.4166
   0.0279869	        122.434	        35.4395
   0.0282772	        123.731	        35.4624
   0.0285705	        125.041	        35.4853
   0.0288669	        126.366	        35.5082
   0.0291663	        127.705	         35.531
   0.0294688	        129.059	        35.5539
   0.0297745	        130.427	        35.5768
   0.0300834	         131.81	        35.5997
   0.0303954	        133.208	        35.6227
   0.0307107	        134.622	        35.6456
   0.0310292	         136.05	        35.6685
   0.0313511	        137.494	        35.6914
   0.0316763	        138.954	        35.7144
   0.0320049	        140.429	        35.7373
   0.0323368	        141.921	        35.7602
   0.0326723	        143.428	        35.7832
   0.0330112	        144.952	        35.8061
   0.0333536	        146.493	        35.8291
   0.0336995	         148.05	         35.852
   0.0340491	        149.624	         35.875
   0.0344023	        151.216	         35.898
   0.0347591	        152.824	         35.921
   0.0351197	        154.451	        35.9439
    0.035484	        156.095	        35.9669
    0.035852	        157.756	        35.9899
   0.0362239	        159.436	        36.0129
   0.0365996	        161.135	        36.0359
   0.0369793	        162.851	         36.059
   0.0373629	        164.587	         36.082
   0.0377504	        166.341	         36.105
    0.038142	        168.115	         36.128
   0.0385376	        169.908	        36.1511
   0.0389374	        171.721	        36.1741
   0.0393412	        173.553	        36.1972
   0.0397493	        175.406	        36.2202
   0.0401616	        177.279	        36.2433
   0.0405782	        179.172	        36.2664
   0.0409991	        181.086	        36.2894
   0.0414244	        183.021	        36.3125
   0.0418541	        184.978	        36.3356
   0.0422882	        186.955	        36.3587
   0.0427269	        188.955	        36.3818
     0.04317	        190.977	        36.4049
   0.0436178	         193.02	         36.428
   0.0440703	        195.087	        36.4511
   0.0445274	        197.176	        36.4743
   0.0449893	        199.288	        36.4974
   0.0454559	        201.423	        36.5205
   0.0459274	        203.582	        36.5437
   0.0464038	        205.765	        36.5669
   0.0468851	        207.971	          36.59
   0.0473715	        210.202	        36.6132
   0.0478628	        212.458	        36.6364
   0.0483593	        214.739	        36.6596
   0.0488609	        217.045	        36.6827
   0.0493677	        219.377	         36.706
   0.0498798	        221.734	        36.7292
   0.0503972	        224.117	        36.7524
     0.05092	        226.527	        36.7756
   0.0514481	        228.964	        36.7988
   0.0519818	        231.428	        36.8221
    0.052521	        233.919	        36.8453
   0.0530658	        236.437	        36.8686
   0.0536162	        238.984	        36.8918
   0.0541724	        241.559	        36.9151
   0.0547343	        244.163	        36.9384
    0.055302	        246.796	        36.9617
   0.0558756	        249.458	         36.985
   0.0564552	         252.15	        37.0083
   0.0570408	        254.872	        37.0316
   0.0576325	        257.624	        37.0549
   0.0582303	        260.407	        37.0783
   0.0588343	        263.221	        37.1016
   0.0594446	        266.067	         37.125
   0.0600612	        268.945	        37.1483
   0.0606842	        271.854	        37.1717
   0.0613136	        274.797	        37.1951
   0.0619496	        277.772	        37.2184
   0.0625922	        280.781	        37.2418
   0.0632414	        283.824	        37.2652
   0.0638974	        286.901	        37.2887
   0.0645602	        290.012	        37.3121
   0.0652299	        293.159	        37.3355
   0.0659065	        296.341	         37.359
   0.0665901	        299.559	        37.3824
   0.0672808	        302.813	        37.4059
   0.0679787	        306.104	        37.4293
   0.0686838	        309.432	        37.4528
   0.0693963	        312.798	        37.4763
   0.0701161	        316.202	        37.4998
   0.0708434	        319.644	        37.5233
   0.0715782	        323.126	        37.5469
   0.0723207	        326.647	        37.5704
   0.0730709	        330.207	        37.5939
   0.0738288	        333.809	        37.6175
   0.0745946	        337.451	        37.6411
   0.0753684	        341.135	        37.6646
   0.0761501	         344.86	        37.6882
     0.07694	        348.628	        37.7118
   0.0777381	        352.439	        37.7354
   0.0785444	        356.293	         37.759
   0.0793592	        360.192	        37.7827
   0.0801823	        364.135	        37.8063
    0.081014	        368.123	          37.83
   0.0818544	        372.156	        37.8536
   0.0827034	        376.236	        37.8773
   0.0835613	        380.363	         37.901
    0.084428	        384.537	        37.9247
   0.0853038	        388.759	        37.9484
   0.0861886	        393.029	        37.9721
   0.0870826	        397.349	        37.9959
   0.0879859	        401.718	        38.0196
   0.0888986	        406.137	        38.0434
   0.0898207	        410.608	        38.0671
   0.0907524	         415.13	        38.0909
   0.0916937	        419.704	        38.1147
   0.0926448	        424.331	        38.1385
   0.0936058	        429.011	        38.1623
   0.0945767	        433.746	        38.1862
   0.0955577	        438.535	          38.21
   0.0965489	         443.38	        38.2339
   0.0975504	        448.282	        38.2578
   0.0985623	         453.24	        38.2816
   0.0995846	        458.255	        38.3055
    0.100618	         463.33	        38.3295
    0.101661	        468.463	        38.3534
    0.102716	        473.656	        38.3773
    0.103781	        478.909	        38.4013
    0.104858	        484.224	        38.4252
    0.105945	        489.601	        38.4492
    0.107044	        495.041	        38.4732
    0.108155	        500.544	        38.4972
    0.109276	        506.112	        38.5212
     0.11041	        511.745	        38.5453
    0.111555	        517.445	        38.5693
    0.112712	        523.211	        38.5934
    0.113881	        529.045	        38.6175
    0.115063	        534.947	        38.6416
    0.116256	        540.919	        38.6657
    0.117462	        546.962	        38.6898
    0.118681	        553.076	        38.7139
    0.119912	        559.262	        38.7381
    0.121155	        565.521	        38.7622
    0.122412	        571.854	        38.7864
    0.123682	        578.262	        38.8106
    0.124965	        584.746	        38.8348
    0.126261	        591.307	        38.8591
    0.127571	        597.946	        38.8833
    0.128894	        604.663	        38.9076
    0.130231	        611.461	        38.9318
    0.131582	         618.34	        38.9561
    0.132947	          625.3	        38.9804
    0.134326	        632.344	        39.0048
    0.135719	        639.471	        39.0291
    0.137127	        646.684	        39.0535
    0.138549	        653.983	        39.0778
    0.139986	         661.37	        39.1022
    0.141438	        668.845	        39.1266
    0.142905	        676.409	         39.151
    0.144388	        684.065	        39.1755
    0.145885	        691.812	        39.1999
    0.147399	        699.653	        39.2244
    0.148927	        707.588	        39.2489
    0.150472	        715.619	        39.2734
    0.152033	        723.746	        39.2979
     0.15361	        731.972	        39.3225
    0.155203	        740.297	         39.347
    0.156813	        748.723	        39.3716
     0.15844	        757.251	        39.3962
    0.160083	        765.882	        39.4208
    0.161744	        774.618	        39.4454
    0.163422	         783.46	        39.4701
    0.165117	         792.41	        39.4947
    0.166829	        801.469	        39.5194
     0.16856	        810.637	        39.5441
    0.170308	        819.918	        39.5689
    0.172075	        829.312	        39.5936
     0.17386	        838.821	        39.6183
    0.175663	        848.446	        39.6431
    0.177485	        858.188	        39.6679
    0.179326	         868.05	        39.6927
    0.181186	        878.033	        39.7176
    0.183066	        888.139	        39.7424
    0.184965	        898.369	        39.7673
    0.186883	        908.724	        39.7922
    0.188822	        919.207	        39.8171
     0.19078	        929.819	         39.842
    0.192759	        940.563	        39.8669
    0.194759	        951.438	        39.8919
    0.196779	        962.448	        39.9169
     0.19882	        973.595	        39.9419
    0.200882	        984.879	        39.9669
    0.202966	        996.303	         39.992
    0.205071	        1007.87	         40.017
    0.207198	        1019.58	        40.0421
    0.209347	        1031.43	        40.0672
    0.211519	        1043.44	        40.0923
    0.213713	        1055.59	        40.1175
     0.21593	        1067.89	        40.1426
     0.21817	        1080.35	        40.1678
    0.220433	        1092.96	         40.193
    0.222719	        1105.73	        40.2182
    0.225029	        1118.66	        40.2435
    0.227363	        1131.75	        40.2688
    0.229722	        1145.01	         40.294
    0.232105	        1158.43	        40.3193
    0.234512	        1172.02	        40.3447
    0.236945	        1185.78	          40.37
    0.239402	        1199.72	        40.3954
    0.241886	        1213.82	        40.4208
